Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Vlasserslaan 21,Ulrum,215000,101.0,1976,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Van Asch van Wijckskade 9,Utrecht,895000,140.0,1935,Bestaande bouw,"Grachtenpand, tussenwoning",Zadeldak,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,B,,Patio/atrium
De Fuut 35,Almelo,225000,97.0,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Joos Banckersplantsoen 15 + PP,Amsterdam,875000,129.0,2003,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,"Aan park, aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",
De Sitterlaan 17,Leiden,745000,167.0,1936,Bestaande bouw,"Herenhuis, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen en een vliering,D,"In centrum, in woonwijk en vrij uitzicht",Zonneterras
Gein-Noord 89,Abcoude,1825000,270.0,1960,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),3 badkamers en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, aan vaarwater, landelijk gelegen, open ligging en vrij uitzicht",Achtertuin en tuin rondom
Marialaan 344,Nijmegen,379000,88.0,2004,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,In woonwijk,
Sloterweg 105 C,Badhoevedorp,318800,69.0,1960,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,"Aan rustige weg, in centrum, open ligging en vrij uitzicht",
Vuurtoren 29,Amstelveen,925000,180.0,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin
Veengrasstraat 6,Nieuw-Buinen,345000,140.0,1998,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras"
Keizersgracht 54,Den Helder,298000,136.0,1834,Bestaande bouw,"Grachtenpand, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg,Achtertuin
Schildhof 9,Huissen,395000,113.0,2006,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin
Dwarsstraat 33,Geldrop,425000,101.0,1929,Bestaande bouw,"Herenhuis, vrijstaande woning",Mansarde dak bedekt met pannen,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Zonnelaan 333,Groningen,259000,89.0,1971,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,"Aan drukke weg, in woonwijk en vrij uitzicht",
Passage 219,Sassenheim,260000,54.0,1980,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,C,"In centrum, in woonwijk en vrij uitzicht",
Branshoef 41,Helmond,405000,141.0,1997,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Geuzenweg 247,Hilversum,375000,82.0,1905,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",D,"Aan rustige weg, in woonwijk en open ligging","Patio/atrium, voortuin en zonneterras"
Kniepveen 2,Zwartemeer,375000,157.0,2012,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A+,"In woonwijk, landelijk gelegen en open ligging",Tuin rondom
Schorweg 71,Breezand,825000,178.0,1980,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,C,"Aan rustige weg, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom
van den Vondelstraat 8,Goor,295000,119.0,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Schepersstraat 10,Dalfsen,500000,141.0,1978,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer,3 woonlagen,C,"Aan rustige weg, in centrum en in woonwijk",Tuin rondom
Luxemburglaan 94,Heemskerk,289000,106.0,1971,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,E,"Aan park, aan rustige weg en in woonwijk",
Van Hogendorplaan 27,Huizen,950000,164.0,1932,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Kettingbrugweg 6,Hengelo (OV),1100000,385.0,1938,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met pannen,10 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,In bosrijke omgeving,Tuin rondom en zonneterras
Tullekensmolenweg 90 b,Lieren,609000,122.0,2022,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A++,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zijtuin"
dr. Henriette Boasstraat 22,Badhoevedorp,1495000,207.0,2022,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een vliering,A+++,Aan rustige weg en in woonwijk,Tuin rondom
Wetering 52 a,Vriezenveen,289000,97.0,2014,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Voortuin en zijtuin
Rogier van der Weydenstr 6,Zelhem,350000,145.0,1977,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in centrum,"Achtertuin, voortuin en zijtuin"
Akkerland 53,Assendelft,620000,167.0,2006,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Eduard Schilderinkstraat 6,Doetinchem,239000,127.0,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan park en in woonwijk,Achtertuin en voortuin
Dotterbloem 16,Breda,885000,180.0,2001,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Tuin rondom
Montfortanenlaan 114,Tilburg,285000,100.0,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Boudewijnplantsoen 6,Nunspeet,399000,101.0,1962,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een vliering,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Badweg 7,Harderwijk,365000,113.0,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Sophia Hedwiglaan 19,Oranjewoud,649000,127.0,1998,Bestaande bouw,"Villa, vrijstaande woning",Tentdak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, tuin rondom, voortuin en zijtuin"
De Doeze 81,Klazienaveen,350000,122.0,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin"
Papekoplaan 15,Ede,625000,148.0,1938,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Vonderman 35,Neede,317000,112.0,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Meidoorn 85,Cuijk,325000,95.0,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin
Roessinghsbleekweg 100,Enschede,325000,107.0,1955,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan park, aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Lobeliastraat 152,Hoogkarspel,289000,126.0,1973,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin
Van der Palmkade 170,Amsterdam,625000,80.0,2001,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,A,"Aan rustige weg, aan vaarwater, aan water, beschutte ligging en in woonwijk",Achtertuin en zijtuin
Oliemolen 79,Hoorn (NH),300000,124.0,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en open ligging",Achtertuin en voortuin
Oosteinde 12,Opperdoes,350000,116.0,1919,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,Aan rustige weg en aan vaarwater,Tuin rondom
Zeestraat 43,Zevenbergen,259800,94.0,1965,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Wezellaan 57,Winschoten,325000,161.0,1977,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Molenstraat 58,Helden,325000,118.0,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,C,Aan drukke weg en in woonwijk,Achtertuin en voortuin
Visseringstraat 21 D,Amsterdam,849000,116.0,2005,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,Aan water en vrij uitzicht,
De Olvendijk 37,Heiloo,275000,51.0,2007,Bestaande bouw,,Zadeldak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan park en beschutte ligging,Tuin rondom
Simon van der Stelstraat 24,Eindhoven,525000,150.0,1950,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,Aan park en in woonwijk,"Achtertuin, voortuin en zijtuin"
Visseringstraat 21 D+PP,Amsterdam,949000,116.0,2005,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,Aan water en vrij uitzicht,
Prunuslaan 25,Sint Pancras,349000,104.0,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Oude Rijnzichtweg 43,Oegstgeest,405000,77.0,1925,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Voortuin
Bottelsteeg 3,Hoorn (NH),235000,41.0,1898,Bestaande bouw,,Mansarde dak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,A,,
Louis Aragonplein 46,Rotterdam,985000,207.0,2018,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan water en in woonwijk","Achtertuin, voortuin en zijtuin"
Planetenlaan 166,Assen,350000,102.0,2000,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,A+,In woonwijk,
Hornstraat 3,Tilburg,325000,114.0,1990,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin
Hessenbergstraat 17,Zetten,599000,98.0,1959,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",F,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin"
Schilder 9,Assendelft,550000,155.0,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Amazonestroom 28,Zoetermeer,425000,97.0,2009,Bestaande bouw,,Samengesteld dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A++,In bosrijke omgeving en in woonwijk,
Bottelsteeg 1,Hoorn (NH),235000,40.0,1898,Bestaande bouw,,Mansarde dak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,A,Aan rustige weg en in centrum,
Trilgras 27,De Goorn,355000,84.0,2007,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
St.-Janshovenstraat 2 C,Utrecht,385000,61.0,2000,Bestaande bouw,,Mansarde dak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,B,In centrum en in woonwijk,
Kerkstraat 4 - 2,Hattem,139000,43.0,1975,Bestaande bouw,,,2 kamers (1 slaapkamer),1 badkamer,2 woonlagen,C,In centrum,
Kamp 16 2,Lelystad,300000,127.0,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,In woonwijk,Achtertuin en voortuin
Dordseweg 81,Weiteveen,297500,95.0,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,Buiten bebouwde kom en in bosrijke omgeving,Tuin rondom
Aalscholverlaan 67,Nijkerk,619000,193.0,1984,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,A,In woonwijk,"Achtertuin, voortuin en zijtuin"
J.G. Bastiaansstraat 13,Deventer,675000,164.0,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Lessenaardak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan water, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Koningin Julianastraat 3,Eibergen,368500,103.0,2005,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In centrum,Achtertuin en voortuin
Nieuwe Kerkstraat 70 b,Rotterdam,425000,128.0,1932,Bestaande bouw,,Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan park, aan rustige weg, beschutte ligging en in woonwijk",
Elektroweg 260,Rotterdam,350000,76.0,1938,Bestaande bouw,,Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,
Afrikaanderstraat 18,Tilburg,375000,108.0,2013,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin
Boulevard Bankert 848,Vlissingen,450000,77.0,2000,Bestaande bouw,,,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,A,"Aan vaarwater, aan water, in centrum, vrij uitzicht en zeezicht",
Vogelwikke 9,Bodegraven,425000,117.0,2012,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Engelsetuinlaan 9,Vleuten,895000,202.0,2012,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Beneden Oostdijk 70,Den Bommel,450000,130.0,2009,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Lange Annastraat 10,Haarlem,1425000,247.0,1850,Bestaande bouw,"Herenhuis, eindwoning",Schilddak bedekt met pannen,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,E,In centrum,
Mulertkamp 59,Zwolle,309000,90.0,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Rijksstraatweg 144,Hellevoetsluis,825000,199.0,1920,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,,"Achtertuin, voortuin en zijtuin"
Martinus Nijhoffweg 127,Den Haag,310000,54.0,2020,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,A++,Aan rustige weg,
Merellaan 38,Boekel,345000,118.0,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin"
De Schalm 65,Dronten,349000,132.0,1975,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Theodorus de Leeuwlaan 2,Abcoude,695000,135.0,1952,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Domela Nieuwenhuisstraat 104,Amsterdam,495000,105.0,2008,Bestaande bouw,,,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan park, aan rustige weg, open ligging en vrij uitzicht",
Ambachtsstraat 10,Schoonhoven,325000,119.0,1966,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin
Het Want 6,Amersfoort,419000,113.0,1998,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Van Tuyll van Serooskerkenweg 92 2,Amsterdam,600000,80.0,1930,Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer,1 woonlaag,C,Aan rustige weg en in woonwijk,
Driekieftenweg 5,Epse,1245000,243.0,1920,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met riet,5 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",D,"Aan bosrand, aan rustige weg, beschutte ligging, buiten bebouwde kom en in bosrijke omgeving",Tuin rondom
Lepelaarsingel 230,Vlaardingen,265000,85.0,1964,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,In woonwijk,
Sprengenberg 122,Amersfoort,495000,141.0,2004,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin
Clusiusstraat 23,Aalsmeer,499000,131.0,1969,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Buru 16,Barneveld,419000,120.0,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Kuikensweg 171,Beverwijk,335000,88.0,1938,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,,"Achtertuin, voortuin en zijtuin"
Benedenland 10,Wilnis,395000,75.0,2019,Bestaande bouw,,Dwarskap bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,A,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin
Vuurvlinderhof 5,Schiedam,335000,106.0,1995,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk,Voortuin
Nieuwpoortslaan 27,Alkmaar,350000,81.0,1903,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Achtertuin
De Ketting 116,Doetinchem,619000,198.0,2019,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Aalscholver 20,Veenendaal,829000,194.0,2018,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,,"Achtertuin, voortuin en zijtuin"
Sluijtershof 6,Oosterhout (NB),375000,112.0,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Oude Doetinchemseweg 2,Zeddam,585000,169.0,1938,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een kelder,E,"Aan bosrand, aan rustige weg, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom
