Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Nieuweweg 55,Hoofddorp,595000,78.0,1912,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,G,In centrum,Tuin rondom
Rijndijk 255 a,Hazerswoude-Rijndijk,790000,270.0,1890,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Open ligging en vrij uitzicht,Tuin rondom
Middelblok 199,Gouderak,890000,164.0,1905,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,D,"Aan rustige weg, aan water, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom
Juliettepad 16,Hoogvliet Rotterdam,465000,120.0,,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin
Boulevard 106,Roosendaal,489000,146.0,1898,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,E,In centrum,Achtertuin en voortuin
H.W. Iordensweg 97 / 99,Wilp,890000,176.0,1922,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,F,"Aan drukke weg, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin"
Groningensingel 1013,Arnhem,209500,58.0,1975,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,2 kamers (1 slaapkamer),1 badkamer,1 woonlaag,C,Aan park,
Tweede Kampsweg 64,Nijverdal,539500,163.0,1981,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
De Wieren 52,Lutjegast,525000,158.0,1925,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met asbest en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht","Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras"
Koningin Wilhelminalaan 10,Castricum,665000,132.0,1938,Bestaande bouw,"Eengezinswoning, hoekwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,In centrum,"Achtertuin, voortuin en zijtuin"
